id;translation;levelRequired;iconId;classType
745;Cherry Blossom Kimono (7 Days);20;745;14
746;Cherry Blossom Kimono (30 Days);20;745;14
747;Cherry Blossom Kimono (Permanent);20;745;14
748;Lily Kimono (7 Days);20;748;14
749;Lily Kimono (30 Days);20;748;14
750;Lily Kimono (Permanent);20;748;14
751;Kunoichi Kimono (7 Days);20;751;14
752;Kunoichi Kimono (30 Days);20;751;14
753;Kunoichi Kimono (Permanent);20;751;14
754;Fast Sabre;68;263;2
755;Heavy Greatsword;73;299;2
756;Forest Bow;68;266;4
757;Dark Angelus Bow;73;300;4
758;Red Skull Wand;68;269;8
759;Archmage Wand;73;301;8
760;Elven Crossbow;64;77;2
761;Ballista;72;292;2
762;Elven Dagger;64;85;4
763;Shadow Kris;72;290;4
764;Spirit Spell Gun;64;93;8
765;Star Spell Gun;72;294;8
766;Bodyguard;65;106;2
767;Heavy Defender;74;298;2
768;Hunter's Tunic;65;119;4
769;Breezy Robe;74;296;4
770;Evil Robe;65;132;8
771;Robe of Wisdom;74;272;8
772;Midnight Boots;64;725;0
773;Spirit Shoes;64;414;0
774;Dawn Gloves;66;720;0
775;Blaze Gloves;66;412;0
776;Full Moon Amulet;65;303;0
777;Amethyst Necklace;75;416;0
778;Emerald Bracelet;62;535;0
779;Full Moon Bracelet;68;307;0
780;Aquamarine Ring;60;313;0
781;Full Moon Ring;66;305;0
782;Dalmatian Costume (7 Days);20;782;14
783;Dalmatian Costume (30 Days);20;782;14
784;Dalmatian Costume (Permanent);20;782;14
785;Rottweiler Costume (7 Days);20;785;14
786;Rottweiler Costume (30 Days);20;785;14
787;Rottweiler Costume (Permanent);20;785;14
788;Siamese Cat Costume (7 Days);20;788;14
789;Siamese Cat Costume (30 Days);20;788;14
790;Siamese Cat Costume (Permanent);20;788;14
791;Russian Blue Cat Costume (7 Days);20;791;14
792;Russian Blue Cat Costume (30 Days);20;791;14
793;Russian Blue Cat Costume (Permanent);20;791;14
794;Playful Bunny Costume (7 Days);20;794;14
795;Playful Bunny Costume (30 Days);20;794;14
796;Playful Bunny Costume (Permanent);20;794;14
797;Adorable Bunny Costume (7 Days);20;797;14
798;Adorable Bunny Costume (30 Days);20;797;14
799;Adorable Bunny Costume (Permanent);20;797;14
800;Fire Fairy;1;800;10
801;Water Fairy;2;801;10
802;Light Fairy;3;802;10
803;Shadow Fairy;4;803;10
804;Light Lion Costume (7 Days);20;805;14
805;Light Lion Costume (30 Days);20;805;14
806;Light Lion Costume (Permanent);20;805;14
807;Dark Lion Costume (7 Days);20;807;14
808;Dark Lion Costume (30 Days);20;807;14
809;Dark Lion Costume (Permanent);20;807;14
810;Bulldog Costume (7 Days);20;810;14
811;Bulldog Costume (30 Days);20;810;14
812;Bulldog Costume (Permanent);20;810;14
813;Saint Bernard Costume (7 Days);20;813;14
814;Saint Bernard Costume (30 Days);20;813;14
815;Saint Bernard Costume (Permanent);20;813;14
816;Burma Cat Costume (7 Days);20;816;14
817;Burma Cat Costume (30 Days);20;816;14
818;Burma Cat Costume (Permanent);20;816;14
819;Korat Cat Costume (7 Days);20;819;14
820;Korat Cat Costume (30 Days);20;819;14
821;Korat Cat Costume (Permanent);20;819;14
822;March Hare Costume (7 Days);20;822;14
823;March Hare Costume (30 Days);20;822;14
824;March Hare Costume (Permanent);20;822;14
825;White Rabbit Costume (7 Days);20;825;14
826;White Rabbit Costume (30 Days);20;825;14
827;White Rabbit Costume (Permanent);20;825;14
828;Golden Lion Costume (7 Days);20;828;14
829;Golden Lion Costume (30 Days);20;828;14
830;Golden Lion Costume (Permanent);20;828;14
831;Black Lion Costume (7 Days);20;831;14
832;Black Lion Costume (30 Days);20;831;14
833;Black Lion Costume (Permanent);20;831;14
834;Dalmatian Hat (7 Days);20;834;14
835;Dalmatian Hat (30 Days);20;834;14
836;Dalmatian Hat (Permanent);20;834;14
837;Rottweiler Hat (7 Days);20;837;14
838;Rottweiler Hat (30 Days);20;837;14
839;Rottweiler Hat (Permanent);20;837;14
840;Siamese Cat Hat (7 Days);20;840;14
841;Siamese Cat Hat (30 Days);20;840;14
842;Siamese Cat Hat (Permanent);20;840;14
843;Russian Blue Cat Hat (7 Days);20;843;14
844;Russian Blue Cat Hat (30 Days);20;843;14
845;Russian Blue Cat Hat (Permanent);20;843;14
846;Playful Bunny Ears (7 Days);20;846;14
847;Playful Bunny Ears (30 Days);20;846;14
848;Playful Bunny Ears (Permanent);20;846;14
849;Adorable Bunny Ears (7 Days);20;849;14
850;Adorable Bunny Ears (30 Days);20;849;14
851;Adorable Bunny Ears (Permanent);20;849;14
852;Light Lion Hat (7 Days);20;852;14
853;Light Lion Hat (30 Days);20;852;14
854;Light Lion Hat (Permanent);20;852;14
855;Dark Lion Hat (7 Days);20;855;14
856;Dark Lion Hat (30 Days);20;855;14
857;Dark Lion Hat (Permanent);20;855;14
858;Bulldog Hat (7 Days);20;858;14
859;Bulldog Hat (30 Days);20;858;14
860;Bulldog Hat (Permanent);20;858;14
861;Saint Bernard Hat (7 Days);20;861;14
862;Saint Bernard Hat (30 Days);20;861;14
863;Saint Bernard Hat (Permanent);20;861;14
864;Burma Cat Hat (7 Days);20;864;14
865;Burma Cat Hat (30 Days);20;864;14
866;Burma Cat Hat (Permanent);20;864;14
867;Korat Cat Hat (7 Days);20;867;14
868;Korat Cat Hat (30 Days);20;867;14
869;Korat Cat Hat (Permanent);20;867;14
870;March Hare Hat (7 Days);20;870;14
871;March Hare Hat (30 Days);20;870;14
872;March Hare Hat (Permanent);20;870;14
873;White Rabbit Hat (7 Days);20;873;14
874;White Rabbit Hat (30 Days);20;873;14
875;White Rabbit Hat (Permanent);20;873;14
876;Golden Lion Hat (7 Days);20;876;14
877;Golden Lion Hat (30 Days);20;876;14
878;Golden Lion Hat (Permanent);20;876;14
879;Black Lion Hat (7 Days);20;879;14
880;Black Lion Hat (30 Days);20;879;14
881;Black Lion Hat (Permanent);20;879;14
882;Lord Morcos' Chest;0;302;0
883;Lord Mukraju's Box;0;1168;0
884;Fire Fairy (30%);1;800;10
885;Water Fairy (30%);2;801;10
886;Light Fairy (30%);3;802;10
887;Shadow Fairy (30%);4;803;10
888;Aqua Bushtail;1;888;0
889;Fairy Costume (7 Days);20;889;14
890;Fairy Costume (30 Days);20;889;14
891;Fairy Costume (Permanent);20;889;14
892;Demon Costume (7 Days);20;892;14
893;Demon Costume (30 Days);20;892;14
894;Demon Costume (Permanent);20;892;14
895;Fairy Hairband (7 Days);20;895;14
896;Fairy Hairband (30 Days);20;895;14
897;Fairy Hairband (Permanent);20;895;14
898;Demon Hat (7 Days);20;898;14
899;Demon Hat (30 Days);20;898;14
900;Pyjama Specialist Card;1;900;31
901;Warrior Specialist Card;1;901;2
902;Ninja Specialist Card;1;902;2
903;Ranger Specialist Card;1;903;4
904;Assassin Specialist Card;1;904;4
905;Red Magician Specialist Card;1;905;8
906;Holy Mage SP;1;906;8
907;Chicken Specialist Card;1;907;31
908;Jajamaru Specialist Card;1;908;30
909;Crusader Specialist Card;1;909;2
910;Berserker Specialist Card;1;910;2
911;Destroyer Specialist Card;1;911;4
912;Wild Keeper Specialist Card;1;912;4
913;Blue Magician Specialist Card;1;913;8
914;Dark Gunner Specialist Card;1;914;8
915;Demon Hat (Permanent);20;898;14
916;Fairy Hairband (1 Day);20;895;14
917;Demon Hat (1 Day);20;898;14
918;Fairy Costume (1 Day);20;889;14
919;Demon Costume (1 Day);20;892;14
920;Red Magical Fairy;1;920;10
921;Eternal Flame Gloves;70;315;14
922;Eternal Storm Gloves;70;316;14
923;Eternal Divine Gloves;70;317;14
924;Eternal Death Gloves;70;318;14
925;Hawaii Costume (m) (7 Days);20;925;14
926;Hawaii Costume (m) (30 Days);20;925;14
927;Hawaii Costume (m) (Permanent);20;925;14
928;Hawaii Costume (f) (7 Days);20;934;14
929;Pegasus;1;929;0
930;Cute Bunny;1;930;0
931;Hawaii Costume (f) (30 Days);20;934;14
932;Hawaii Costume (f) (Permanent);20;934;14
933;Hawaii Headdress (m) (7 Days);20;933;14
934;Hawaii Headdress (m) (30 Days);20;933;14
935;Hawaii Headdress (m) (Permanent);20;933;14
936;Hawaii Headdress (f) (7 Days);20;936;14
937;Hawaii Headdress (f) (30 Days);20;936;14
938;Hawaii Headdress (f) (Permanent);20;936;14
939;none;0;939;0
940;Hatus' Abyss Bow;88;354;4
941;Hatus' Infernal Staff;88;357;8
942;Lady Calvinas' Gift Box;0;302;0
943;Boxer Bushi;1;943;0
944;Calvinas' Firestorm Sword;88;350;2
945;Calvinas' Redwave Bow;88;354;4
946;Calvinas' Waterflower Wand;88;357;8
947;Calvinas' Bluethorn Crossbow;88;292;2
948;Calvinas' Bluetooth Dagger;88;290;4
949;Calvinas' Bluehorn Spellgun;88;294;8
950;Pumpkin Bushtail;1;950;0
951;Blue Marine Suit (1 Day);20;951;14
952;Blue Marine Suit (7 Days);20;951;14
953;Blue Marine Suit (30 Days);20;951;14
954;Blue Marine Suit (Permanent);20;951;14
955;Blue Sailor Suit (1 Day);20;955;14
956;Blue Sailor Suit (7 Days);20;955;14
957;Blue Sailor Suit (30 Days);20;955;14
958;Blue Sailor Suit (Permanent);20;955;14
959;Blue Marine Cap (1 Day);20;959;14
960;Blue Marine Cap (7 Days);20;959;14
961;Blue Marine Cap (30 Days);20;959;14
962;Blue Marine Cap (Permanent);20;959;14
963;Blue Sailor Cap (1 Day);20;963;14
964;Blue Sailor Cap (7 Days);20;963;14
965;Blue Sailor Cap (30 Days);20;963;14
966;Blue Sailor Cap (Permanent);20;963;14
967;Tarot Card (Death);1;660;0
968;Tarot Card (The Sun);1;588;0
969;none;20;969;14
970;Classic Bushi Costume (Permanent);20;969;14
971;none;20;971;14
972;Classic Bushi Hat (Permanent);20;971;14
973;Christmas Hat (1 Day);20;973;14
974;Christmas Hat (7 Days);20;973;14
975;Christmas Hat (30 Days);20;973;14
976;Christmas Costume (1 Day);20;976;14
977;Christmas Costume (7 Days);20;976;14
978;Christmas Costume (30 Days);20;976;14
979;Super Santa Bushi;1;444;0
980;Bull Bushtail;1;921;0
981;Wedding Clothes (3 Days);20;981;30
982;Wedding Clothes (7 Days);20;981;30
983;Wedding Clothes (30 Days);20;981;30
984;Wedding Clothes (Permanent);20;981;30
985;Wedding Hairstyle (3 Days);20;4000;30
986;Wedding Hairstyle (7 Days);20;4000;30
987;Wedding Hairstyle (30 Days);20;4000;30
988;Wedding Hairstyle (Permanent);20;4000;30
989;Berios' Crystal Robe;70;281;8
990;Weapon for Partner (Melee);0;990;0
991;Weapon for Partner (Ranged);0;991;0
992;Weapon for Partner (Magic);0;992;0
993;Berios' Crystal Tunic;70;280;4
994;Berios' Crystal Armour;70;279;2
995;Armour for Partner (Magic);0;995;0
996;Armour for Partner (Ranged);0;996;0
997;Armour for Partner (Melee);0;997;0
998;none;1;259;0
999;Baron Berios' Treasure Chest;0;302;0
1000;Pull Lever (Before);-24;1000;0
1001;Old Box;4;1001;0
1002;Small Health Potion;44;1002;0
1003;Medium Health Potion;88;1003;0
1004;Large Health Potion;-24;1004;0
1005;Small Mana Potion;0;1005;0
1006;Medium Mana Potion;0;1006;0
1007;Large Mana Potion;0;1007;0
1008;Small Recovery Potion;44;1008;0
1009;Medium Recovery Potion;88;1009;0
1010;Large Recovery Potion;-24;1010;0
1011;Huge Recovery Potion;-36;1011;0
1012;Seed of Power;0;1012;0
1013;Gillion Stone;0;1013;0
1014;Cella Powder;0;1014;0
1015;Soul Gem;0;1015;0
1016;Complete Soul Gem;0;1016;0
1017;Cellon (Level 1);100;1017;0
1018;Cellon (Level 2);100;1018;0
1019;Cellon (Level 3);100;1019;0
1020;Cellon (Level 4);100;1020;0
1021;Cellon (Level 5);100;1021;0
1022;Cellon (Level 6);100;1022;0
1023;Cellon (Level 7);100;1023;0
1024;Cellon (Level 8);100;1024;0
1025;Cellon (Level 9);100;1025;0
1026;Cellon (Level 10);0;1026;0
1027;Dona River Sand;0;1027;0
1028;New Moon Crystal;0;1028;0
1029;Half Moon Crystal;0;1029;0
1030;Full Moon Crystal;0;1030;0
1031;Red Crystal Piece;0;1031;0
1032;Blue Crystal Piece;0;1032;0
1033;White Crystal Piece;0;1033;0
1034;Black Crystal Piece;0;1034;0
1035;Production Tools for Adventurers;100;1035;0
1036;Soul Gem Refiner;10;1036;0
1037;Cellon Refiner;10;1037;0
1038;Crystal Refiner;10;1038;0
1039;Production Tools for Swordsmen;100;1039;0
1040;Produces Tools for Archers;100;1040;0
1041;Produces Tools for Sorcerers;100;1041;0
1042;Regular Box;4;1042;0
1043;Luxurious Box;4;1043;0
1044;Secret Box;4;1044;0
1045;Pull Lever (After);-24;1045;0
1046;Gold;70;1046;0
1047;Production Tools for Accessories;100;1047;0
1048;Mysterious Crystal Ball (Before);-23;1048;0
1049;Mysterious Crystal Ball (After);-23;1049;0
1050;Bonus Box;4;1050;0
1051;Button (Before);-24;1051;0
1052;Button (After);-24;1052;0
1053;Wooden Lever (Before);-24;1053;0
1054;Wooden Lever (After);-24;1054;0
1055;Devil Sculpture (Before);-23;1055;0
1056;Devil Sculpture (After);-23;1056;0
1057;Sealed Key;4;1057;0
1058;Duke's Research Materials;0;1058;0
1059;Artifact;0;1059;0
1060;Increases attack power.;20;1044;0
1061;Increases defence power.;20;1044;0
1062;Increases melee defence.;20;1044;0
1063;Increases ranged defence.;20;1044;0
1064;Increases magic defence.;20;1044;0
1065;Mana Chest;20;1044;0
1066;Strong Energy;20;1044;0
1067;Recovery Chest;20;1044;0
1068;Random Effect;21;1044;0
1069;NosMate Resurrection;20;1044;0
1070;Acceleration;20;1044;0
1071;Mighty Shield;20;1044;0
1072;Production Tools for Gems, Cellons and Crystals;100;1072;0
1073;Production Tools for Raw Materials;100;1073;0
1074;Healing Capsule;12;2138;0
1075;Click Miniland;9;1053;0
1076;Huge Recovery Potion;12;1011;0
1077;NotUse;0;1077;0
1078;Specialist Point Potion;-106;1078;0
1079;Land Point Recharger;0;1079;0
1080;Quick Time Stone;0;1080;0
1081;Picnic Basket;-120;1081;0
1082;Barbecue;-32;1082;0
1083;Production Tools for Gloves and Shoes;100;1083;0
1084;Small Signpost;100;1084;0
1085;Large Signpost;100;1085;0
1086;Wild Sound Flower;0;1086;0
1087;Sound Flower;0;1087;0
1088;Gold Reward;0;1088;0
1089;Experience Reward;0;1089;0
1090;Job Experience Reward;0;1090;0
1091;Reputation Reward;0;1091;0
1092;Group Time-Space Piece;100;1092;0
1093;Individual Time-Space Piece;100;1093;0
1094;Raid Time-Space Piece;100;1094;0
1095;Hunting Time-Space Piece;100;1095;0
1096;Laboratory Time-Space Piece;100;1093;0
1097;Bonus Points;0;1097;0
1098;Mysterious Box;0;1098;0
1099;Chicken Feathers;-47;1099;0
1100;Blue Cuby;-47;1100;0
1101;Deserted Skull;0;1101;0
1102;Spider Troops - Part 2;-116;1102;0
1103;Skin for Bob;49;1103;0
1104;Shackles of the Past - Part 2;-116;1102;0
1105;Shackles of the Past - Part 3;-116;1102;0
1106;Cake;0;1106;0
1107;N (Event);100;1107;0
1108;O (Event);100;1108;0
1109;S (Event);100;1109;0
1110;! (Event);100;1110;0
1111;Duke's Research Data;0;1111;0
1112;New Item;0;1112;0
1113;Lily of Purity;-48;1113;0
1114;Instant Recharge Specialist Card;71;2144;0
1115;Medal of Erenia;-55;1115;0
1116;Adventurer's Medal;-54;1116;0
1117;Self-Introduction;-53;1117;0
1118;Small Special Potion;-105;1118;0
1119;Medium Special Potion;-105;1119;0
1120;Large Special Potion;-105;1120;0
1121;Laboratory Finale Time-Space Piece;-116;1102;0
1122;Cylloan Spring Water;-72;1122;0
1123;NosMall Inauguration Quest;0;1123;0
1124;Balloon Decoration;-48;1124;0
1125;Golden Bell;0;1125;0
1126;Silver Bell;0;1126;0
1127;Mother Cuby Seal;45;1127;0
1128;Ginseng Seal;45;1128;0
1129;Dark Castra Seal;45;1129;0
1130;Giant Black Spider Seal;45;1130;0
1131;Massive Slade Seal;45;1131;0
1132;Mysterious Box;0;1132;0
1133;Event Box;0;1133;0
1134;Event Coupon;-56;1134;0
1135;Trigger;-23;1135;0
1136;Trigger (After);-23;1136;0
1137;Teleport Lever;-23;1137;0
1138;Teleport Lever;-23;1138;0
1139;Teleport Bone;-23;1139;0
1140;Teleport Bone;-23;1140;0
1141;Skin for Tom;49;1141;0
1142;Skin for Kliff;49;1142;0
1143;Specialist Medal;-52;1143;0
1144;Bronze Bell;0;1144;0
1145;Antler;0;1145;0
1146;1st Secret Partner Time-Space Stone;-116;1146;0
1147;2nd Secret Partner Time-Space Stone;-116;1146;0
1148;3rd Secret Partner Time-Space Stone;-116;1146;0
1149;Medal of Friendship;-51;1149;0
1150;Shadow of Zenas Raid Seal;0;1150;0
1151;Black Slate;33;1151;0
1152;Captain Lance's Cigarette Packet;0;1152;0
1153;Fragrant Grass;0;1153;0
1154;Glittering Water;0;1154;0
1155;Mandra Flower;0;1155;0
1156;Homing Perfume;81;1156;0
1157;Sniffer Net;82;1157;0
1158;Magic Powder;119;1158;0
1159;Fire Slade's Glowing Heart;0;1159;0
1160;Blood-Red Ruby;-115;1160;0
1161;Small Blood-Red Ruby;0;1161;0
1162;Blossom Tree Fruit;0;1162;0
1163;Mole Whiskers;0;1163;0
1164;Super Mask;-80;1164;0
1165;Super Pants;-80;1165;0
1166;Super Cloak;-80;1166;0
1167;Super Spellgun;-80;1167;0
1168;Treasure Chest;0;1168;0
1169;Whirl Sculpture;-78;1169;0
1170;Black Gourd Bottle;0;1170;0
1171;Black Dog Bone;0;1171;0
1172;Black Powder;0;1172;0
1173;Suction Funnel;-112;1173;0
1174;Kenko Bead;0;1174;0
1175;Amulet of Soul;-66;1175;0
1176;Branch of Innocence;0;1176;0
1177;Holy Branch;0;1177;0
1178;Wheat;0;1178;0
1179;Iron Ore;0;1179;0
1180;Sniffer;0;1180;0
1181;NotUse;0;1181;0
1182;Block Button;-23;1135;0
1183;Block Button (Used);-23;1136;0
1184;Gate 1;-116;1102;0
1185;Gate 2;-116;1102;0
1186;Gate 3;-116;1102;0
1187;Mimi's Medal;-50;1149;0
1188;Ribbon;0;1188;0
1189;Gift Box;0;1189;0
1190;Valentine's Day Gift;-55;1190;0
1191;Amber of Light;0;1191;0
1192;Amber of Shadows;0;1192;0
1193;Amber of Water;0;1193;0
1194;Amber of Fire;0;1194;0
1195;Chicken King Seal;45;1195;0
1196;NotUse;0;1196;0
1197;none;0;1370;0
1198;none;-54;1198;0
1199;Fruit Juice;0;1199;0
1200;Sticky Clay;0;1200;0
1201;Shinebone Statue;-66;1201;0
1202;Brick;-63;1202;0
1203;Lawn;-62;1203;0
1204;Spade;-61;1204;0
1205;Treasure Map;-60;1205;0
1206;Dog Mask;-58;1206;0
1207;Shiny Hat;-23;1207;0
1208;Pickaxe;-26;1208;0
1209;Sparkling Rock;-25;1209;0
1210;Small Hand Mirror;-21;1210;0
1211;Potion of Salvation;0;347;0
1212;Red Cloth;-19;1212;0
1213;Beast Tooth;0;1213;0
1214;Precious Vase;-9;1214;0
1215;Part of a Letter;2;1215;0
1216;Black Diamond Key;0;1216;0
1217;Hammer of Pain;0;1217;0
1218;Equipment Protection Scroll;0;1218;0
1219;Release Scroll;0;1219;0
1220;Giant Hammer;0;1220;0
1221;Spirit Essence;0;1221;0
1222;Fairy Dust;0;1222;0
1223;Soul Crystal;0;1223;0
1224;Princess Sakura's Hairpin;0;1224;0
1225;Hat-Shaped Stone;0;1225;0
1226;Namaju Raid Seal;45;1226;0
1227;Rainbow Battle Registration;0;1227;0
1228;Damaged Key;26;1228;0
1229;Black Diamond;26;1229;0
1230;Chicken Drumstick;-53;1230;0
1231;Bamboo;-53;1231;0
1232;Fragrant Bag;0;1232;0
1233;Rice;-53;1233;0
1234;Grasslin Seal;45;1234;0
1235;Construction Plan (Level 1);100;1235;0
1236;Construction Plan (Level 2);100;1236;0
1237;Boot Combination Recipe A;100;1237;0
1238;Boot Combination Recipe B;100;1238;0
1239;Glove Combination Recipe A;100;1239;0
1240;Glove Combination Recipe B;100;1240;0
1241;Consumables Recipe;100;1241;0
1242;Divine Health Potion;0;1242;0
1243;Divine Mana Potion;0;1243;0
1244;Divine Recovery Potion;0;1244;0
1245;Basic SP Recovery Potion;-104;1245;0
1246;Attack Potion;0;1246;0
1247;Defence Potion;0;1247;0
1248;Energy Potion;0;1248;0
1249;Experience Potion;0;1249;0
1250;Altair's Heart;0;1250;0
1251;Vega's Tears;0;1251;0
1252;Feather;0;1252;0
1253;Chilsug Present;0;1253;0
1254;Cold Heart;0;1254;0
1255;Daisy;0;1255;0
1256;Iris;0;1256;0
1257;Small Bell;-78;1257;0
1258;Fever's Moulted Skin;0;1258;0
1259;Moth Powder;0;1259;0
1260;Spirit Dust;0;1260;0
1261;Bubble Gum;0;1261;0
1262;Rumbler's Horn;0;1262;0
1263;Soul Crystal;0;1263;0
1264;Golden Maple Leaf;0;1264;0
1265;Golden Stamen;0;1265;0
1266;Mole Mother's Beard;0;1266;0
1267;Cloudy Water;0;1267;0
1268;Raccoon Bird Tail;0;1268;0
1269;Durability Coupon;0;1269;0
1270;Reward Coupon;0;1270;0
1271;Production Coupon;0;1271;0
1272;Adventurer's Knapsack (10 Days);-49;1272;0
1273;Adventurer's Knapsack (30 Days);-49;1272;0
1274;Adventurer's Knapsack (60 Days);-49;1272;0
1275;Partner's Backpack (10 Days);0;1275;0
1276;Partner's Backpack (30 Days);0;1275;0
1277;Partner's Backpack (60 Days);0;1275;0
1278;Pet Basket (10 Days);-4;1278;0
1279;Pet Basket (30 Days);-4;1278;0
1280;Pet Basket (60 Days);-4;1278;0
1281;Backpack set 10days;0;1281;0
1282;Backpack set 30days;0;1281;0
1283;Backpack set 60days;0;1281;0
1284;Erenia's Blessing;-47;1284;0
1285;Guardian Angel's Blessing;-46;10120;0
1286;Ancelloan's Blessing;-48;10119;0
1287;Blessing set;0;1287;0
1288;Holy water of rebirth;0;1288;0
1289;Mysterious Box A;-12;1289;0
1290;Mysterious Box B;-12;1290;0
1291;Mysterious Box C;-12;1291;0
1292;Polluted Water;0;1292;0
1293;Filthy Water;0;1293;0
1294;Clear Water;0;1294;0
1295;Hellhound Liver;0;1295;0
1296;Fairy Booster;-6;1296;0
1297;Energy booster;-5;1297;0
1298;Gift Box;100;1189;0
1299;Green Mooncake;-36;1299;0
1300;Red Mooncake;-36;1300;0
1301;White Mooncake;-36;1301;0
1302;Rebecca's Jewelled Belt;12;1302;0
1303;Bloody Stone;0;1160;0
1304;Piena's Diary;12;1205;0
1305;Torn Page;0;1215;0
1306;Lucky Stone Necklace;12;327;0
1307;Holy Water Bottle;0;1154;0
1308;Justin's Portrait;12;1308;0
1309;Small Safe;0;1168;0
1310;Triangular Key;0;1216;0
1311;Ruddy's Handkerchief;12;1311;0
1312;Amir's Armour Parchment;100;1312;0
1313;Amir's Weapon Parchment A;100;1313;0
1314;Amir's Weapon Parchment B;100;1314;0
1315;Amir's Weapon Specifications;100;1315;0
1316;Amir's Weapon Specification Book Cover;100;1316;0
1317;Basilisk Time-Space Piece;100;1095;0
1318;Hell Knight Time-Space Piece;100;1095;0
1319;Treekun Time-Space Piece;100;1095;0
1320;Chrysos Time-Space Piece;100;1095;0
1321;Special Bleach;12;1209;0
1322;Special Bleach Recipe;100;1241;0
1323;Straw;12;1178;0
1324;Bean Pod;12;1324;0
1325;Flint;12;1202;0
1326;The Elementary Book of Adventurer;12;1315;0
1327;Time-Space: Frozen Heart;-116;1102;0
1328;Time-Space: Destroyer;-116;1102;0
1329;Time-Space: Guardian of Light;-116;1102;0
1330;Time-Space: Archtheridon;-116;1102;0
1331;Special Water Bottle;12;1221;0
1332;Airwaves Blackcurrant;0;1332;0
1333;Airwaves Eucalyptus;0;1333;0
1334;Airwaves Strawberry;0;1334;0
1335;Airwaves Menthol;0;1335;0
1336;Airwaves Lemon;0;1336;0
1337;Airwaves Orange;0;1337;0
1338;Airwaves Sweets;0;1338;0
1339;Airwaves Cherry;0;1339;0
1340;Violet Memory Fragment;52;1340;0
1341;Green Memory Fragment;52;1341;0
1342;Red Memory Fragment;52;1342;0
1343;White Memory Fragment;52;1343;0
1344;Whitney's Treatise;0;1344;0
1345;Natalie's Headband;0;1345;0
1346;Piepe's Necklace;52;1346;0
1347;Wooden Wolf Doll;52;1347;0
1348;Seina's Ring;0;1348;0
1349;Demon Crystal;0;1349;0
1350;Unfinished Priest's Spear;52;1350;0
1351;Priest's Spear;52;1351;0
1352;Unknown Ore;52;1352;0
1353;Angel's Feather;52;1353;0
1354;Enkidu Mane;52;1354;0
1355;Seli-Lusha Leaf;52;1355;0
1356;Fever's Thread;52;1356;0
1357;Time-Space: Unlimited Hatred;-116;1102;0
1358;Time-Space: Hermit;-116;1102;0
1359;Time-Space: Black Flame;-116;1102;0
1360;Time-Space: Echekaruel Mysticaron;-116;1102;0
1361;Recipe for the Unfinished Priest's Spear;100;2937;0
1362;Soulstone Blessing;0;1362;0
1363;Lower SP Protection Scroll;0;1363;0
1364;Higher SP Protection Scroll;0;1364;0
1365;Soul Revival Stone;0;1365;0
1366;Point Initialisation Potion;0;1366;0
1367;Christmas Stocking;0;1367;0
1368;Falling Star;0;1368;0
1369;Jingle Bell;0;1369;0
1370;Winter Event Gift Box;0;1370;0
1371;Snowman Raid Seal;45;1371;0
1372;Mysterious Box Set;88;1372;0
1373;Gift Box;0;1370;0
1374;Gift Envelope;0;1374;0
1375;Wood for a Small Campfire;38;1375;0
1376;Wood for a Large Campfire;38;1376;0
1377;Mimi Mentor's Letter;13;1377;0
1378;Anni's Letter;14;1378;0
1379;Anni's Recommendation Letter;22;1379;0
1380;none;88;1498;0
1381;Y (Event);88;1381;0
1382;E (Event);88;1382;0
1383;A (Event);88;1383;0
1384;R (Event);88;1384;0
1385;none;0;1427;0
1386;Latheore's Egg;46;1386;0
1387;Leika's Recommendation Letter;21;1387;0
1388;Logbook;27;1388;0
1389;1st Reconnaissance Report;30;1389;0
1390;First Clue;37;1390;0
1391;Second Clue;37;1391;0
1392;Third Clue;37;1392;0
1393;Old Tablet;37;1393;0
1394;Torn Reconnaissance Report;37;1394;0
1395;Bitoren Tundra Reconnaissance Report;37;1395;0
1396;2nd Reconnaissance Report;42;1396;0
1397;Mukraju's Magic Book;45;1397;0
1398;Bundle of Reports;100;1398;0
1399;Magic Box;0;1399;0
1400;Fortune Key;0;1400;0
1401;Legendary Treasure Chest;0;1401;0
1402;Mysterious Treasure Chest;0;1402;0
1403;Antique Treasure Chest;0;1403;0
1404;Deluxe Treasure Chest;0;1404;0
1405;Pretty Treasure Chest;0;1405;0
1406;Red Easter Egg (Event);0;1406;0
1407;Blue Easter Egg;0;1407;0
1408;White Easter Egg;0;1408;0
1409;Yellow Easter Egg (Event);0;1409;0
1410;Soul of Easter;0;1410;0
1411;Birthday Present;0;1253;0
1412;Merge Present;0;1168;0
1413;Magic Treasure Chest (School Uniforms for Women);0;1399;0
1414;Magic Treasure Chest (Sportswear for Women);0;1399;0
1415;Magic Treasure Chest (Uniforms for Men);0;1399;0
1416;Magic Treasure Chest (Costumes for Men);0;1399;0
1417;Magic Treasure Chest (Cool Outfits for Men);0;1399;0
1418;Magic Treasure Chest (Sportswear for Men);0;1399;0
1419;Second Fortune Key;0;1400;0
1420;Second Legendary Treasure Chest;0;1401;0
1421;Second Mysterious Treasure Chest;0;1402;0
1422;Second Antique Treasure Chest;0;1403;0
1423;Second Deluxe Treasure Chest;0;1404;0
1424;Second Pretty Treasure Chest;0;1405;0
1425;Mysterious White Treasure Chest A;0;1399;0
1426;Mysterious White Treasure Chest B;0;1399;0
1427;Point Initialisation Potion (Event);0;1366;0
1428;Perfume;0;1428;0
1429;Rainbow Pearl;0;1429;0
